No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3}
1,03:00 18/09/2019,-,0,124.2955,110.62,91.0317,2.091,12.7422,812.8472,82.5469
2,04:00 18/09/2019,-,0,140.2281,73.1515,52.2027,2.0413,14.8128,1120.7292,43.5853
3,05:00 18/09/2019,-,0,142.0196,123.542,103.6208,2.1548,14.7015,1673.1596,90.9644
4,06:00 18/09/2019,-,0,137.1535,149.2294,120.7061,3.8022,18.6181,1921.3196,107.2657
5,07:00 18/09/2019,-,0,151.8071,137.9871,73.0467,14.3054,27.3561,1104.3403,57.816
6,08:00 18/09/2019,-,0,97.8806,207.7296,97.6707,16.9082,35.9578,1290.7464,75.4815
7,09:00 18/09/2019,-,0,109.1995,164.9913,62.2783,16.7787,47.3102,1414.8783,42.887
8,10:00 18/09/2019,-,0,142.1389,125.6095,45.7207,8.6756,33.347,1265.9724,31.5565
9,11:00 18/09/2019,-,0,171.6647,146.4885,52.321,6.3194,30.4183,971.7882,36.7897
10,12:00 18/09/2019,-,0,220.8465,140.9131,52.4958,3.0971,20.3161,911.3195,37.4619
11,13:00 18/09/2019,-,0,222.0978,135.5507,48.562,5.9855,29.3682,778.2465,33.1638
12,14:00 18/09/2019,-,0,217.713,95.5538,45.7412,10.0377,35.6278,682.1528,34.879
13,15:00 18/09/2019,-,0,259.5631,349.2987,69.1919,3.7328,19.8776,632.9166,28.2656
14,16:00 18/09/2019,-,0,180.2998,31.8883,20.303,11.8115,51.7916,1125,16.7091
15,17:00 18/09/2019,-,0,172.3058,28.3703,18.2302,9.1146,43.7993,792.5,15.4059
16,18:00 18/09/2019,-,0,166.4843,55.6565,34.7369,9.879,49.0929,935.1736,29.5072
17,19:00 18/09/2019,-,0,164.3508,41.5537,23.9155,4.1345,34.8878,935.4687,20.066
18,20:00 18/09/2019,-,0,190.5569,41.2116,24.7994,2.0236,25.2004,712.178,20.9551
19,21:00 18/09/2019,-,0,189.2501,40.1295,23.3172,1.8866,24.1068,734.1493,19.1555
20,22:00 18/09/2019,-,0,174.9736,57.0145,38.4268,1.9562,25.6602,738.4201,32.4045
21,23:00 18/09/2019,-,0,156.8247,106.1797,76.063,2.3573,29.4701,878.0903,62.1422
22,00:00 19/09/2019,-,0,113.7394,566.8144,461.3879,10.4885,44.8656,1101.6146,358.8141
23,01:00 19/09/2019,-,0,105.1668,1098.5954,807.9914,12.1802,46.7585,1033.316,550.9909
24,02:00 19/09/2019,-,0,110.2645,3971.853,2756.086,15.9058,50.8365,1647.917,1633.501
25,03:00 19/09/2019,-,0,109.0989,885.3718,738.7926,9.9208,40.4164,1001.059,626.0365
26,04:00 19/09/2019,-,0,132.5666,790.6247,660.4428,12.8752,37.7902,1098.7502,565.1508
27,05:00 19/09/2019,-,0,146.2157,979.9582,852.0584,25.0286,43.2361,1354.4618,726.546
28,06:00 19/09/2019,-,0,136.8451,416.7095,371.0336,6.4324,27.2055,865.2604,330.6452
29,07:00 19/09/2019,-,0,129.9753,56.7485,47.6986,2.9474,19.4365,925.2604,42.7661
30,08:00 19/09/2019,-,0,130.4533,34.8687,28.0352,3.5391,19.5589,863.1423,25.122
31,09:00 19/09/2019,-,0,130.1614,35.3562,25.161,14.7095,54.8655,1100.2257,21.216
32,10:00 19/09/2019,-,0,137.6815,40.3873,31.2017,8.8956,37.039,992.5695,27.4927
33,11:00 19/09/2019,-,0,143.8685,28.4807,22.3794,10.221,39.4011,821.6319,19.6934
34,12:00 19/09/2019,-,0,153.1766,22.7718,18.0102,24.6232,56.9215,916.5972,15.909
35,13:00 19/09/2019,-,0,144.6608,42.8063,33.3059,25.7803,73.8199,1212.9861,29.4752
36,14:00 19/09/2019,-,0,164.0097,27.7141,23.6315,12.6382,51.8689,773.6459,21.7788
37,15:00 19/09/2019,-,0,205.4589,23.7236,20.3249,3.6316,22.8995,558.316,18.9898
38,16:00 19/09/2019,-,0,218.0312,33.8136,25.2688,3.5782,21.9721,565.7639,23.0455
39,17:00 19/09/2019,-,0,220.126,41.0077,29.452,11.9988,46.1214,570.5208,26.1465
40,18:00 19/09/2019,-,0,258.3754,43.7394,29.857,2.7642,26.005,541.7292,26.2425
41,19:00 19/09/2019,-,0,209.4018,53.8753,32.7565,5.5416,33.5193,764.1666,28.1721
42,20:00 19/09/2019,-,0,198.874,52.8814,33.4711,2.5572,31.8755,787.8993,29.1123
43,21:00 19/09/2019,-,0,188.4977,73.8247,52.4201,2.3052,31.2801,853.8368,46.8926
44,22:00 19/09/2019,-,0,172.5463,57.0619,38.2257,1.8406,30.5741,881.8403,33.8452
45,23:00 19/09/2019,-,0,152.8135,75.44,58.388,2.1395,36.0882,1031.8229,53.7122
46,00:00 20/09/2019,-,0,122.5254,601.3098,500.046,3.8572,42.1564,1209.132,387.0646
47,01:00 20/09/2019,-,0,109.5975,845.7912,720.426,7.6142,51.1172,1184.8089,614.167
48,02:00 20/09/2019,-,0,113.4284,361.684,310.6053,7.2784,47.2243,1116.3889,278.4534
49,03:00 20/09/2019,-,0,107.5078,670.449,571.2718,8.198,41.4705,1237.9339,497.003
50,04:00 20/09/2019,-,0,124.8027,363.8235,293.6527,5.4387,34.5851,1173.9409,249.4845
51,05:00 20/09/2019,-,0,131.5317,414.0276,349.6962,9.3595,30.8793,1175.6944,301.8418
52,06:00 20/09/2019,-,0,132.9782,201.1847,167.5849,5.4711,22.7965,1025.4514,145.0318
53,07:00 20/09/2019,-,0,116.4706,102.96,76.1264,5.8316,23.4153,966.7187,63.7322
54,08:00 20/09/2019,-,0,93.1389,71.0446,43.9726,21.5288,29.4415,1068.7846,35.518
55,09:00 20/09/2019,-,0,102.0128,69.5378,41.7917,9.1435,24.8052,1007.4652,33.9481
56,10:00 20/09/2019,-,0,112.042,99.2433,66.9992,9.9927,30.1168,1375.1563,57.2233
57,11:00 20/09/2019,-,0,151.1455,96.6837,65.835,6.6661,29.6113,1324.0104,57.2338
58,12:00 20/09/2019,-,0,186.8375,89.1536,48.701,7.9451,37.2718,930.4514,41.0682
59,13:00 20/09/2019,-,0,185.7085,127.6337,47.1465,9.0469,43.5961,1001.2847,34.4808
60,19:00 23/10/2019,72.9987,2.75,60.5153,216.2061,72.2617,12.6673,60.3314,840.0694,46.2417
