No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
1,12:00 24/10/2019,6.1838,39.7985,66.7988,18.5295,11.5611,0.6882,5.4956,334.3403,9.4011,,,,,,,,,
2,13:00 24/10/2019,6.9309,42.5941,65.3925,17.0653,9.8956,0.4255,6.5055,364.5833,8.201,,,,,,,,,
3,14:00 24/10/2019,5.6383,44.0186,63.003,16.5869,11.5376,0.0685,5.5698,383.6458,9.877,,,,,,,,,
4,15:00 24/10/2019,4.632,43.0486,63.1628,14.6763,10.806,0.0841,4.5479,361.2153,9.2492,,,,,,,,,
5,16:00 24/10/2019,8.8551,42.3308,66.2541,25.2232,16.1678,2.0926,6.7625,337.2222,13.3648,,,,,,,,,
6,17:00 24/10/2019,10.7467,41.4521,65.1639,29.6325,20.1598,1.9841,8.7626,349.4618,16.7383,,,,,,,,,
7,18:00 24/10/2019,31.8836,40.9834,46.5516,36.0477,16.5469,12.1207,19.7629,371.6667,12.346,,,,,,,,,
8,19:00 24/10/2019,20.7642,45.0716,34.813,33.0075,15.6366,0.6345,20.1298,537.9861,12.2827,,,,,,,,,
9,20:00 24/10/2019,11.6056,44.6946,40.3878,38.0111,23.3603,0.0875,11.5181,447.4132,19.3164,,,,,,,,,
10,21:00 24/10/2019,12.9346,49.3958,38.4671,25.6243,15.799,0.0614,12.8732,451.7708,12.9629,,,,,,,,,
11,22:00 24/10/2019,8.7775,43.3334,44.4015,23.3477,15.1712,0.0203,8.7572,471.6146,12.7887,,,,,,,,,
12,23:00 24/10/2019,8.0074,40.5047,44.5539,20.8377,13.2361,0.0225,7.9849,442.7431,11.0559,,,,,,,,,
13,00:00 25/10/2019,5.8756,40.5044,48.5723,19.463,12.3792,0.0154,5.8602,388.4722,10.2916,,,,,,,,,
14,01:00 25/10/2019,4.022,39.7107,50.9736,17.6013,11.6087,0.0169,4.005,330.434,9.9795,,,,,,,,,
15,02:00 25/10/2019,5.9197,41.6813,50.4486,18.3653,12.9855,0.0221,5.8975,345.5382,11.1444,,,,,,,,,
16,03:00 25/10/2019,9.387,53.9281,50.5221,20.7405,14.4758,0.014,9.3731,366.9965,12.0725,,,,,,,,,
17,04:00 25/10/2019,13.252,58.8246,45.2301,22.0845,15.3829,0.0188,13.2332,397.0139,12.2424,,,,,,,,,
18,05:00 25/10/2019,8.2606,49.733,49.8736,20.1097,13.3599,0.0335,8.2271,367.6562,9.7893,,,,,,,,,
19,06:00 25/10/2019,5.787,45.192,50.556,14.1549,8.8887,0.0093,5.7777,327.6562,7.0919,,,,,,,,,
20,07:00 25/10/2019,17.0295,46.8099,34.1523,26.5265,16.0297,0.2535,16.776,417.6042,12.846,,,,,,,,,
21,08:00 25/10/2019,11.7616,45.4776,34.9636,24.5196,14.02,0.0473,11.7144,368.9063,11.1627,,,,,,,,,
22,09:00 25/10/2019,10.9349,45.0728,37.3909,31.8019,15.6185,0.5859,10.349,417.5868,12.0349,,,,,,,,,
