No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1480,13:00 04/03/2024,17.7358,2.2775,19.5708,117.4808,99.89,6.9875,10.7492,3231.4917,1006.2883,28.1108,,,,,
1481,14:00 04/03/2024,13.9658,2.2125,24.47,128.6258,95.9825,4.5483,9.415,3166.8883,1004.7258,28.2117,,,,,
1482,15:00 04/03/2024,12.4125,2.2317,36.4325,131.2917,96.2467,3.64,8.7717,3172.2875,1003.4217,27.2175,,,,,
1483,16:00 04/03/2024,11.0,2.22,33.4008,124.5117,96.1808,2.64,8.3583,3092.74,1002.7042,26.7708,,,,,
1484,17:00 04/03/2024,12.0283,2.3825,31.4025,117.4125,92.945,2.4925,9.535,3150.9008,1002.6717,27.105,,,,,
1485,18:00 04/03/2024,10.2725,2.59,36.0108,117.6783,95.0317,2.2092,8.0625,3087.0958,1002.9983,27.5508,,,,,
1486,19:00 04/03/2024,15.9017,2.6358,29.92,101.3208,83.5292,5.0408,10.8592,3529.6267,1003.365,28.3,,,,,
1487,20:00 04/03/2024,25.2508,2.1983,11.9375,106.2117,76.2425,5.5642,19.685,3477.2833,1004.0475,28.5825,,,,,
1488,21:00 04/03/2024,31.9675,2.165,16.4567,136.1867,76.1008,11.9792,19.9875,3507.5733,1004.6667,28.5292,,,,,
1489,22:00 04/03/2024,31.4733,2.3575,14.0158,167.5383,97.0442,11.8625,19.6108,3598.1975,1004.9925,28.4825,,,,,
1490,23:00 04/03/2024,34.5467,2.3758,16.2692,179.1858,106.6467,14.22,20.3283,3750.3983,1005.0492,27.6933,,,,,
1491,00:00 05/03/2024,43.4742,2.3958,16.8167,184.8333,105.7508,23.61,19.8642,3740.3917,1004.9917,27.465,,,,,
1492,01:00 05/03/2024,45.6033,2.7558,19.6117,191.8617,105.3817,22.7233,22.8808,4317.26,1004.625,27.4842,,,,,
1493,02:00 05/03/2024,41.8117,3.4958,19.8292,204.5625,122.4233,19.6658,22.1458,4446.0592,1004.0217,27.5317,,,,,
1494,03:00 05/03/2024,47.5017,3.6917,19.0308,216.0908,130.91,24.8658,22.6342,4432.8025,1003.8492,28.1283,,,,,
1495,04:00 05/03/2024,37.4917,3.945,20.595,232.3808,138.8983,15.5308,21.9575,4488.2933,1003.6283,28.325,,,,,
1496,05:00 05/03/2024,26.7192,3.19,19.5667,261.7575,142.8925,8.205,18.5117,3628.7508,1003.9408,28.3325,,,,,
1497,06:00 05/03/2024,22.1367,3.0558,16.9317,278.1358,143.09,8.16,13.975,3653.11,1004.5542,28.4233,,,,,
1498,07:00 05/03/2024,17.8175,3.2742,20.245,278.2792,129.8258,8.0067,9.8075,3558.0433,1005.1825,27.7325,,,,,
1499,08:00 05/03/2024,21.75,3.1308,19.6167,273.5917,108.6492,10.5725,11.1775,3804.0033,1005.9083,27.3392,,,,,
1500,09:00 05/03/2024,20.62,3.6183,19.1508,268.19,115.0833,8.5692,12.0517,3544.3175,1006.6025,27.255,,,,,
1501,10:00 05/03/2024,17.3383,3.74,23.0792,227.3275,107.8283,6.8342,10.505,3115.1417,1006.7075,27.1667,,,,,
1502,11:00 05/03/2024,12.8808,4.4242,33.605,212.9808,120.1442,4.4183,8.4617,3104.315,1006.3817,28.2358,,,,,
1503,12:00 05/03/2024,14.0325,4.055,49.8367,174.1,115.6417,4.0375,9.995,3454.8917,1005.2675,28.8958,,,,,
1504,13:00 05/03/2024,11.4367,3.6417,72.6117,164.1408,111.4842,2.5483,8.8908,3260.4467,1003.81,29.2225,,,,,
1505,14:00 05/03/2024,10.8017,3.3858,77.3908,182.4658,128.7175,2.48,8.3208,3251.0108,1002.5908,29.9717,,,,,
1506,15:00 05/03/2024,9.9,3.1292,101.6858,191.79,144.1883,2.1467,7.7542,3184.3217,1001.4925,28.8892,,,,,
1507,16:00 05/03/2024,9.7242,2.9158,82.5733,195.9742,157.5042,2.135,7.5908,3173.9133,1001.0325,27.8158,,,,,
1508,17:00 05/03/2024,10.3108,2.8083,117.3592,186.5192,144.9008,2.2967,8.015,3361.3433,1000.8167,27.4458,,,,,
1509,18:00 05/03/2024,10.6245,2.4309,169.3,232.28,179.3909,2.15,8.4755,3472.4891,1000.8855,27.8436,,,,,
1510,19:00 05/03/2024,10.7192,2.1233,77.8525,231.6275,172.7733,2.3558,8.3658,3069.2133,1001.3725,28.9792,,,,,
1511,20:00 05/03/2024,11.2758,2.5975,10.785,225.7017,170.7233,2.3758,8.9,3266.2675,1002.225,29.1733,,,,,
1512,21:00 05/03/2024,11.2508,2.8058,51.2192,226.0917,147.0483,2.295,8.9558,3272.8633,1002.8642,29.0617,,,,,
1513,22:00 05/03/2024,12.5492,2.7492,38.3658,253.0708,162.3275,2.5875,9.9617,3268.2733,1003.215,29.0108,,,,,
1514,23:00 05/03/2024,9.6492,2.4717,60.7142,231.65,136.9533,2.2117,7.435,3009.7208,1003.3992,27.6567,,,,,
1515,00:00 06/03/2024,8.1233,1.8742,38.0625,170.1708,81.8233,2.1233,6.0017,3027.8033,1003.1558,26.8958,,,,,
1516,01:00 06/03/2024,9.1033,1.9967,20.6792,121.94,54.7925,2.0108,7.0942,2939.0425,1002.83,27.0442,,,,,
1517,02:00 06/03/2024,11.2617,2.1742,15.055,95.8508,50.3442,1.965,9.2958,2698.5875,1002.6542,27.16,,,,,
1518,03:00 06/03/2024,10.7127,2.1464,11.7709,83.4573,50.8873,3.1355,7.5782,2804.2327,1002.7273,28.3645,,,,,
1519,04:00 06/03/2024,9.515,2.5308,23.0017,80.6525,55.0667,4.0617,5.4517,2757.3975,1002.8892,28.7917,,,,,
1520,05:00 06/03/2024,12.3317,2.3392,20.7408,79.7667,57.4258,4.1858,8.1475,2808.1142,1003.6108,28.7833,,,,,
1521,06:00 06/03/2024,13.6433,2.0742,18.5425,80.2133,54.56,4.3517,9.2925,2414.0158,1004.76,28.745,,,,,
1522,07:00 06/03/2024,21.9217,1.7933,37.5942,102.415,44.7058,9.41,12.5133,3256.4325,1006.2383,27.4917,,,,,
1523,08:00 06/03/2024,18.6842,2.0075,28.9767,105.2425,42.6225,7.2783,11.405,3270.4933,1007.7717,27.0817,,,,,
1524,09:00 06/03/2024,17.1908,1.9642,44.3433,115.2792,54.0092,5.3608,11.8292,3021.7358,1009.0325,26.9508,,,,,
1525,10:00 06/03/2024,15.8892,1.98,40.6225,110.03,56.8592,4.3192,11.57,2828.5217,1009.9033,26.8008,,,,,
1526,11:00 06/03/2024,14.2267,2.2175,15.0908,104.0192,65.5583,3.95,10.275,3069.2125,1009.9675,28.3833,,,,,
1527,12:00 06/03/2024,14.64,2.4417,35.1883,98.82,77.4442,4.2133,10.4258,3116.2,1009.4583,29.0433,,,,,
1528,13:00 06/03/2024,10.79,2.425,43.1533,112.565,68.57,3.085,7.7067,2937.965,1008.595,29.1417,,,,,
1529,14:00 06/03/2024,10.4308,2.5483,24.4658,134.2908,67.6267,2.67,7.7625,2827.6067,1007.6708,29.1642,,,,,
1530,15:00 06/03/2024,7.67,2.9458,52.6342,139.6983,77.405,2.0892,5.5808,2875.3625,1006.9242,28.0408,,,,,
1531,16:00 06/03/2024,7.3208,3.2267,40.9192,129.0817,80.4483,1.9192,5.4025,2857.0708,1006.6708,27.9992,,,,,
1532,17:00 06/03/2024,8.7783,2.64,46.9133,124.9033,85.5217,2.35,6.4275,2998.7858,1006.5875,28.1508,,,,,
1533,18:00 06/03/2024,8.96,2.7358,39.3433,135.1033,96.8125,2.2792,6.68,2903.4258,1006.9642,27.9833,,,,,
1534,19:00 06/03/2024,9.4875,2.7667,10.2233,129.7008,97.2825,2.1367,7.3475,2890.1083,1007.8875,28.7583,,,,,
1535,20:00 06/03/2024,9.7758,2.5875,17.3867,117.375,79.4792,2.535,7.2408,2927.9575,1009.2542,28.8175,,,,,
1536,21:00 06/03/2024,6.2592,2.5417,28.5425,112.015,50.355,1.8958,4.365,2853.0642,1010.4775,28.6125,,,,,
