STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10349,09:00 01/04/2025,26.0008,12.2108,7.3325,108.6892,43.1308,12.9775,13.0233,4389.9392,1021.3108,27.4942,,,,,
10350,10:00 01/04/2025,23.1083,10.1858,8.0675,123.6192,56.0417,8.8225,14.2858,3200.9483,1021.1783,25.4742,,,,,
10351,11:00 01/04/2025,26.2517,9.8883,11.2858,112.2633,56.6675,11.3408,14.9108,3143.7458,1020.565,24.9658,,,,,
10352,12:00 01/04/2025,16.13,9.2125,21.2933,108.4117,46.775,4.0858,12.1492,2629.8433,1019.45,24.56,,,,,
10353,13:00 01/04/2025,17.1008,8.56,25.0467,97.1108,34.7392,4.3333,12.9867,2664.13,1018.02,26.905,,,,,
10354,14:00 01/04/2025,14.3475,8.1717,30.9692,107.3717,41.6425,2.5925,12.0475,2507.3125,1016.5017,27.5717,,,,,
10355,15:00 01/04/2025,12.4517,8.4383,42.9892,91.0058,46.7283,1.6733,11.3383,2422.535,1015.3567,27.9292,,,,,
10356,16:00 01/04/2025,25.8883,9.0817,29.2833,103.5583,54.18,7.745,18.1458,3303.4233,1014.4758,26.815,,,,,
10357,17:00 01/04/2025,30.5958,8.4817,16.2525,106.2583,50.4958,10.3417,20.255,3259.6717,1014.255,25.1525,,,,,
10358,18:00 01/04/2025,29.0775,8.6125,11.3875,104.8367,46.8,8.1225,20.9567,4153.4633,1014.3108,25.4433,,,,,
10359,19:00 01/04/2025,36.2392,10.0258,7.2258,109.1008,43.0625,13.865,22.3717,4701.0808,1014.7808,27.1125,,,,,
10360,20:00 01/04/2025,32.5325,10.345,5.935,119.3542,50.4908,12.145,20.3875,4111.7542,1015.3217,27.64,,,,,
10361,21:00 01/04/2025,36.96,10.32,4.4092,125.5392,50.8517,16.8533,20.1058,4106.55,1016.1725,27.6725,,,,,
10362,22:00 01/04/2025,47.0067,10.9008,4.2692,140.4983,59.7375,27.7025,19.3033,4516.385,1016.8408,25.715,,,,,
10363,23:00 01/04/2025,43.185,10.0525,3.6433,163.6917,60.9692,23.62,19.565,3775.5692,1017.0683,25.375,,,,,
10364,00:00 02/04/2025,28.2333,8.97,3.99,155.12,55.9367,11.095,17.1383,3162.1483,1017.3692,25.4458,,,,,
10365,01:00 02/04/2025,15.5508,7.795,5.7883,142.6558,57.135,0.9692,14.8133,2406.1142,1017.4217,27.0008,,,,,
10366,02:00 02/04/2025,9.5642,11.5675,15.65,141.0408,73.1758,0.0,11.0533,2023.26,1017.3875,27.725,,,,,
10367,03:00 02/04/2025,6.2475,14.8117,30.7633,122.6325,72.0558,0.035,7.6825,1823.9383,1017.29,28.0067,,,,,
10368,04:00 02/04/2025,3.49,8.8608,44.9558,97.9558,58.035,0.0,5.0208,1747.7892,1017.305,25.9558,,,,,
10369,05:00 02/04/2025,5.9492,7.6533,42.2975,69.9825,38.3767,0.3642,6.6208,1810.0892,1017.8642,25.7483,,,,,
