STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa}
684,11:00 29/01/2024,42.3333,3.1292,27.1925,93.3333,55.2908,16.5692,25.7675,3246.0817,1023.4742
685,12:00 29/01/2024,46.185,3.5492,27.2758,98.2967,48.6592,17.3183,28.8658,3487.2517,1022.5433
686,13:00 29/01/2024,55.3592,2.7342,28.6417,89.995,50.3283,21.2483,34.11,3775.89,1021.2867
687,14:00 29/01/2024,40.2433,1.7975,38.96,90.7517,56.7983,12.88,27.3633,3169.1292,1019.7442
688,15:00 29/01/2024,34.6183,1.8675,55.7558,95.1375,66.3008,7.3033,27.3142,3222.83,1018.7217
689,16:00 29/01/2024,33.3575,1.1775,52.125,92.2567,68.3392,5.96,27.3992,3177.0892,1018.3358
690,17:00 29/01/2024,62.4208,1.4483,41.795,93.6942,70.9225,17.4108,45.0117,4057.7225,1018.0017
691,18:00 29/01/2024,39.2583,1.4833,39.0283,98.0542,69.8417,4.9567,34.2992,3444.1875,1018.1892
692,19:00 29/01/2024,48.1642,1.7908,27.7508,95.8292,73.8525,5.9683,42.195,3982.1117,1018.4192
693,20:00 29/01/2024,43.7,2.9017,28.4892,96.6542,79.425,4.96,38.7392,3459.4808,1018.985
694,21:00 29/01/2024,38.06,2.7042,29.16,101.5108,84.1458,3.9367,34.125,3238.4733,1019.4358
695,22:00 29/01/2024,41.95,3.3508,28.3958,106.2075,89.0233,4.225,37.725,3208.0908,1019.7375
696,23:00 29/01/2024,42.0925,2.3042,31.5917,114.7233,99.6025,7.6267,34.4658,3174.1942,1019.7283
697,00:00 30/01/2024,34.8225,1.6042,36.7683,113.7692,98.5558,6.4975,28.3258,2785.9642,1019.56
698,01:00 30/01/2024,20.6742,0.945,46.355,110.2842,96.4592,2.0133,18.6608,2472.2067,1019.1708
699,02:00 30/01/2024,31.6158,0.8167,33.7317,110.0425,87.6358,2.7,28.9167,2546.8725,1018.5817
700,03:00 30/01/2024,34.3392,0.8508,28.2475,112.9,84.2575,2.1775,32.1617,2535.7275,1018.185
701,04:00 30/01/2024,34.065,0.7158,25.6783,119.0058,86.8658,3.7033,30.36,2580.3225,1018.0975
702,05:00 30/01/2024,34.41,0.745,23.4408,123.7292,98.22,5.8667,28.5425,2648.0558,1018.25
